title,amount,payment_date,customer_id
ACADEMY DINOSAUR,2.99,2005-05-24 22:53:30,130
ACADEMY DINOSAUR,4.99,2005-05-24 23:31:46,239
ACADEMY DINOSAUR,4.99,2005-05-24 23:31:46,239
ACADEMY DINOSAUR,1.99,2005-05-24 23:11:53,269
ACADEMY DINOSAUR,1.99,2005-05-24 23:11:53,269
ACADEMY DINOSAUR,1.99,2005-05-24 23:11:53,269
ACADEMY DINOSAUR,.99,2005-05-24 23:08:07,549
ACADEMY DINOSAUR,.99,2005-05-24 23:08:07,549
ACADEMY DINOSAUR,.99,2005-05-24 23:08:07,549
ACADEMY DINOSAUR,.99,2005-05-24 23:08:07,549
ACADEMY DINOSAUR,.99,2005-05-24 23:08:07,549
ACADEMY DINOSAUR,1.99,2005-05-24 23:11:53,269
ACADEMY DINOSAUR,4.99,2005-05-24 23:04:41,333
ACADEMY DINOSAUR,4.99,2005-05-24 23:04:41,333
ACADEMY DINOSAUR,2.99,2005-05-24 22:53:30,130
ACADEMY DINOSAUR,2.99,2005-05-24 22:53:30,130
ACADEMY DINOSAUR,2.99,2005-05-24 22:54:33,459
ACADEMY DINOSAUR,2.99,2005-05-24 22:54:33,459
ACADEMY DINOSAUR,2.99,2005-05-24 22:54:33,459
ACADEMY DINOSAUR,2.99,2005-05-24 22:54:33,459
ACADEMY DINOSAUR,2.99,2005-05-24 22:54:33,459
ACADEMY DINOSAUR,3.99,2005-05-24 23:03:39,408
ACADEMY DINOSAUR,3.99,2005-05-24 23:03:39,408
ACE GOLDFINGER,8.99,2005-05-25 00:09:02,142
ACE GOLDFINGER,8.99,2005-05-25 00:09:02,142
ACE GOLDFINGER,5.99,2005-05-25 00:02:21,399
ACE GOLDFINGER,4.99,2005-05-25 00:00:40,126
ACE GOLDFINGER,5.99,2005-05-25 00:02:21,399
ACE GOLDFINGER,4.99,2005-05-25 00:00:40,126
ACE GOLDFINGER,5.99,2005-05-25 00:02:21,399
ADAPTATION HOLES,.99,2005-05-25 00:31:15,446
ADAPTATION HOLES,9.99,2005-05-25 00:39:22,319
ADAPTATION HOLES,9.99,2005-05-25 00:39:22,319
ADAPTATION HOLES,9.99,2005-05-25 00:39:22,319
ADAPTATION HOLES,.99,2005-05-25 00:31:15,446
ADAPTATION HOLES,.99,2005-05-25 00:31:15,446
ADAPTATION HOLES,.99,2005-05-25 00:31:15,446
ADAPTATION HOLES,.99,2005-05-25 00:31:15,446
ADAPTATION HOLES,6.99,2005-05-25 00:22:55,334
ADAPTATION HOLES,6.99,2005-05-25 00:22:55,334
ADAPTATION HOLES,4.99,2005-05-25 00:19:27,261
ADAPTATION HOLES,4.99,2005-05-25 00:19:27,261
AFFAIR PREJUDICE,2.99,2005-05-25 01:48:41,185
AFFAIR PREJUDICE,2.99,2005-05-25 01:48:41,185
AFFAIR PREJUDICE,2.99,2005-05-25 01:48:41,185
AFFAIR PREJUDICE,2.99,2005-05-25 01:48:41,185
AFFAIR PREJUDICE,4.99,2005-05-25 01:59:46,388
AFFAIR PREJUDICE,4.99,2005-05-25 01:59:46,388
AFFAIR PREJUDICE,4.99,2005-05-25 01:17:24,456
AFFAIR PREJUDICE,4.99,2005-05-25 02:19:23,509
AFFAIR PREJUDICE,4.99,2005-05-25 02:19:23,509
AFFAIR PREJUDICE,4.99,2005-05-25 01:59:46,388
AFFAIR PREJUDICE,4.99,2005-05-25 01:17:24,456
AFFAIR PREJUDICE,.99,2005-05-25 01:10:47,19
AFFAIR PREJUDICE,4.99,2005-05-25 02:19:23,509
AFFAIR PREJUDICE,4.99,2005-05-25 00:43:11,316
AFFAIR PREJUDICE,4.99,2005-05-25 00:43:11,316
AFFAIR PREJUDICE,4.99,2005-05-25 00:43:11,316
AFFAIR PREJUDICE,2.99,2005-05-25 01:06:36,575
AFFAIR PREJUDICE,2.99,2005-05-25 01:06:36,575
AFFAIR PREJUDICE,2.99,2005-05-25 01:06:36,575
AFFAIR PREJUDICE,2.99,2005-05-25 01:06:36,575
AFFAIR PREJUDICE,2.99,2005-05-25 01:06:36,575
AFFAIR PREJUDICE,.99,2005-05-25 01:10:47,19
AFFAIR PREJUDICE,4.99,2005-05-25 01:17:24,456
AFRICAN EGG,4.99,2005-05-25 02:53:02,350
AFRICAN EGG,4.99,2005-05-25 02:53:02,350
AFRICAN EGG,.99,2005-05-25 03:21:20,37
AFRICAN EGG,.99,2005-05-25 03:21:20,37
AFRICAN EGG,4.99,2005-05-25 02:53:02,350
